Model,Hand,Year,Price,Engine,Kilometers,EngineType,GearBox,Color
פורד אדג' / EDGE,1,2020,"240,000₪",1999,"9,000",בנזין,אוטומט,בורדומטאלי
יונדאי סנטה פה,2,2011,לאצויןמחיר,2349,"129,000",בנזין,אוטומט,שחורמטאלי
סוזוקי גרנד ויטרה,5,2009,"70,500₪",2393,"145,000",בנזין,אוטומט,לבןפנינה
סוזוקי גרנד ויטרה,3,2013,"80,000₪",2393,"127,000",בנזין,אוטומט,כחולכההמטאלי
טויוטה לנד קרוזר ארוך,3,2007,"140,000₪",2982,"243,000",דיזל,אוטומט,אפור
רנו קוליאוס,1,2009,"19,500₪",2486,"250,000",בנזין,אוטומט,כחולבהירמטאלי
יונדאי טוסון,2,2016,"94,500₪",1999,"121,000",בנזין,אוטומט,לבן
קיה ספורטז',3,2018,"109,000₪",1999,"33,000",בנזין,אוטומט,כסוף
סובארו פורסטר,3,2011,"47,000₪",1995,"200,000",בנזין,אוטומט,אפורעכבר
קיה ספורטז',1,2018,"99,500₪",1591,"56,000",בנזין,אוטומט,שחורמטאלי
טויוטה RAV4 הייבריד,2,2016,"116,000₪",2494,"113,000",בנזין,אוטומט,לבן
ב.מ.וו X5,4,2011,"96,000₪",3000,"240,000",דיזל,אוטומט,לבןמטאלי
ג'יפ / Jeep גרנד צ'ירוקי,1,2019,לאצויןמחיר,3604,"60,000",בנזין,אוטומט,לבן
יונדאי אקסנט/ i25 החדשה (2019 ואילך),1,2019,"80,000₪",1591,"47,000",בנזין,אוטומט,שחור
אלפא רומיאו מיטו / MITO,1,2019,"109,900₪",1368,"10,745",בנזין,אוטומט,לבן
סקודה סופרב (עד 2019) ,3,2011,"35,000₪",1798,"155,000",בנזין,אוטומט,שחור
ניסאן סנטרה,1,2018,"74,572₪",1800,"75,700",בנזין,אוטומט,לבן
שברולט קורבט,1,2020,לאצויןמחיר,6162,"9,800",בנזין,אוטומט,לבן
מרצדס EQA,1,2022,"348,000₪",1000,,חשמלי,אוטומט,שחור
שברולט טראקס,2,2017,1370₪לחודש,1364,"59,000",בנזין,אוטומט,אפורמטאלי
שברולט טראוורס,3,2013,לאצויןמחיר,3564,"156,800",בנזין,אוטומט,בז'מטאלי
הונדה סיוויק האצ'בק החדשה,1,2018,"102,990₪",988,"20,500",בנזין,אוטומט,אפורמטאלי
טויוטה אוריס הייבריד,1,2018,"84,000₪",1798,"96,000",בנזין,אוטומט,אפורמטאלי
יונדאי i10,1,2015,"31,900₪",998,"81,000",בנזין,ידנית,כחולבהירמטאלי
פורד אדג' / EDGE,1,2021,לאצויןמחיר,1999,"7,626",בנזין,אוטומט,לבן
טויוטה RAV4 ארוך,2,2017,לאצויןמחיר,1987,"69,000",בנזין,אוטומט,לבן
יונדאי אלנטרה (2016 ואילך),0,2021,1015₪לחודש,1598,,בנזין,אוטומט,לבןפנינה
מיצובישי אאוטלנדר,1,2016,"99,800₪",1998,"89,000",בנזין,אוטומט,אפורמטאלי
ניסאן ג'וק / Juke,1,2012,"53,000₪",1598,"70,342",בנזין,אוטומט,שחורמטאלי
יונדאי טוסון,2,2017,"94,900₪",1999,"85,000",בנזין,אוטומט,שחורמטאלי
פורד אדג' / EDGE,1,2019,לאצויןמחיר,1999,"51,000",בנזין,אוטומט,שחור
טויוטה RAV4 הייבריד,2,2018,"165,000₪",2494,"19,500",בנזין,אוטומט,אפורמטאלי
שברולט טראקס,3,2015,"57,000₪",1796,"58,500",בנזין,אוטומט,לבןמטאלי
סקודה קודיאק,1,2019,"192,000₪",1968,"31,000",דיזל,אוטומט,כסףמטלי
לנד רובר דיסקברי 5,1,2021,"600,000₪",2997,"10,000",דיזל,אוטומט,לבןמטאלי
אינפיניטי QX60,2,2016,"152,000₪",3498,"99,000",בנזין,אוטומט,לבןפנינה
טויוטה לנד קרוזר ארוך,2,2017,"300,000₪",2755,"200,000",דיזל,אוטומט,לבן
קיה סורנטו,2,2020,"189,000₪",2359,"20,000",בנזין,אוטומט,לבןפנינה
אינפיניטי QX30,1,2019,"171,600₪",1991,"13,000",בנזין,אוטומט,שחורמטאלי
סיטרואן C5 איירקרוס,1,2019,"125,000₪",1598,"41,600",בנזין,אוטומט,שחורמטאלי
וולוו XC60,1,2011,"46,000₪",1999,"114,000",בנזין,אוטומט,לבן
סיטרואן C5 איירקרוס,1,2021,לאצויןמחיר,1499,"38,000",דיזל,אוטומט,אפורמטאלי
שברולט טראוורס,1,2017,"167,000₪",3564,"79,823",בנזין,אוטומט,שחור
טויוטה 4Runner,1,2018,"305,000₪",3956,"55,000",בנזין,אוטומט,שחורמטאלי
לנד רובר פרילנדר 2,4,2008,"48,000₪",2179,"220,000",דיזל,אוטומט,בורדו
רנו קוליאוס,2,2011,"26,500₪",2486,"177,000",בנזין,אוטומט,שחורמטאלי
מיצובישי פג'רו ארוך,3,2008,"90,000₪",3200,"373,000",דיזל,אוטומט,ברונזהמטאלי
ב.מ.וו X3,1,2019,"260,000₪",1998,"22,000",בנזין,אוטומט,לבן
שברולט בלייזר (2019 ואילך),2,2020,"245,000₪",1997,"22,000",בנזין,אוטומט,שחורמטאלי
וולוו S80,3,2013,"40,000₪",1595,"215,000",בנזין,אוטומט,לבן
רנו מגאן גראנד קופה,1,2018,לאצויןמחיר,1461,"109,239",דיזל,אוטומט,לבן
רנו מגאן דור 2 (2004-2010),2,2008,"3,800₪",1598,"138,000",בנזין,אוטומט,אפור
אם. ג'י. / MG MG3,1,2016,"22,900₪",1498,"111,382",בנזין,ידנית,כסוףמטאלי
רנו מאסטר קצר/בינוני,1,2017,לאצויןמחיר,2299,"200,000",דיזל,ידנית,לבן
